;Proposições;Autor;Apresentaç
258;PL 3368/2020;Jose Mario Schreiner - DEM/GO;17/06/2020
259;PL 3390/2020;Gonzaga Patriota - PSB/PE;17/06/2020
260;PL 2735/2020;Ricardo Guidi - PSD/SC;18/05/2020
261;PL 2875/2019;Tereza Nelma - PSDB/AL;14/05/2019
262;PL 5005/2016;Daniel Coelho - PSDB/PE;13/04/2016
263;PL 5560/2016;Mariana Carvalho - PSDB/RO;14/06/2016
264;PL 8085/2017;Dr. Sinval Malheiros - PODE/SP;12/07/2017
265;PL 5123/2019;Fábio Faria - PSD/RN;17/09/2019
266;PL 197/2020;Geninho Zuliani - DEM/SP;06/02/2020
267;PL 1784/2020;Paulo Teixeira - PT/SP;10/04/2020
268;PL 5605/2016;Felipe Bornier - PROS/RJ;15/06/2016
269;PL 5604/2016;Felipe Bornier - PROS/RJ;15/06/2016
270;PL 300/2019;Rubens Otoni;04/02/2019
271;PL 7129/2017;Alexandre Leite - DEM/SP;15/03/2017
272;PL 4574/2016;Flávia Morais - PDT/GO;01/03/2016
273;PL 2790/2015;Hélio Leite - DEM/PA;27/08/2015
274;PL 5406/2019;Vavá Martins - REPUBLIC/PA;08/10/2019
275;PL 513/2020;"Arnaldo Jardim - CIDADANIA/SP;Geninho Zuliani - DEM/SP";04/03/2020
276;PL 2451/2020;Geninho Zuliani - DEM/SP;06/05/2020
277;PL 2812/2020;Gonzaga Patriota - PSB/PE;21/05/2020
278;PL 8865/2017;Leandre - PV/PR;18/10/2017
279;PL 2087/2020;Ossesio Silva - REPUBLIC/PE;22/04/2020
280;PL 2190/2020;Aroldo Martins - REPUBLIC/PR;27/04/2020
281;PL 3106/2019;Pompeo de Mattos - PDT/RS;23/05/2019
282;PL 258/2020;Rubens Otoni - PT/GO;11/02/2020
283;PL 6086/2016;André Amaral - PMDB/PB;01/09/2016
284;PL 8739/2017;Jandira Feghali - PCdoB/RJ;03/10/2017
285;PL 6164/2016;Danilo Cabral - PSB/PE;19/09/2016
286;PL 4695/2016;Goulart - PSD/SP;09/03/2016
287;PL 10953/2018;Felipe Bornier - PROS/RJ;07/11/2018
288;PL 9616/2018;Pastor Eurico - PHS/PE;21/02/2018
289;PL 5272/2019;Carlos Henrique Gaguim - DEM/TO;30/09/2019
290;PL 8750/2017;Carlos Henrique Gaguim - PODE/TO;03/10/2017
291;PL 2663/2019;Célio Studart - PV/CE;07/05/2019
292;PL 9239/2017;Alexandre Valle - PR/RJ;30/11/2017
293;PL 7972/2017;Jean Wyllys - PSOL/RJ;28/06/2017
294;PL 3955/2019;Sargento Fahur - PSD/PR;09/07/2019
295;PL 401/2015;Alberto Fraga - DEM/DF;23/02/2015
296;PL 7457/2017;Alex Manente - PPS/SP;20/04/2017
297;PL 8547/2017;Laudivio Carvalho - SD/MG;12/09/2017
298;PL 3684/2015;Edinho Bez - PMDB/SC;18/11/2015
299;PL 3976/2012;Antonio Bulhões - PRB/SP;30/05/2012
300;PLP 148/2020;Guilherme Derrite - PP/SP;01/06/2020
301;PL 4698/2012;Damião Feliciano - PDT/PB;09/11/2012
302;PL 3556/2015;Carlos Henrique Gaguim - PMDB/TO;10/11/2015
303;PL 503/2019;Sergio Souza - MDB/PR;06/02/2019
304;PL 470/2015;Laerte Rodrigues de Bessa - PR/DF;25/02/2015
305;PL 3965/2012;Felipe Bornier - PSD/RJ;29/05/2012
306;PL 6928/2013;Daniel Almeida - PCdoB/BA;11/12/2013
307;PL 3602/2019;Felipe Carreras - PSB/PE;18/06/2019
308;PLP 48/2011;Dr. Aluizio - PV/RJ;05/05/2011
309;PLP 77/2020;Luis Miranda - DEM/DF;03/04/2020
310;PLP 88/2020;Celso Sabino - PSDB/PA;09/04/2020
311;PLP 103/2020;João Daniel - PT/SE;17/04/2020
312;PL 2920/2020;Capitão Alberto Neto - REPUBLIC/AM;26/05/2020
313;PL 2939/2020;Felipe Carreras - PSB/PE;27/05/2020
314;PL 2873/2020;José Nelto - PODE/GO;25/05/2020
315;PL 10780/2018;Enio Verri - PT/PR;04/09/2018
316;PL 3389/2020;Paula Belmonte - CIDADANIA/DF;17/06/2020
317;PL 2605/2020;Léo Moraes - PODE/RO;13/05/2020
318;PL 1444/2020;Alice Portugal - PCdoB/BA;02/04/2020
319;PL 3021/2020;Rejane Dias - PT/PI;01/06/2020
320;PL 2455/2020;"Mauro Nazif - PSB/RO; Alessandro Molon - PSB/RJ; Bira do Pindaré - PSB/MA e outros";07/05/2020
321;PL 3035/2020;Alexandre Frota - PSDB/SP;01/06/2020
322;PL 3032/2020;Alexandre Frota - PSDB/SP;01/06/2020
323;PL 658/2020;Helder Salomão - PT/ES;17/03/2020
324;PL 2801/2020;"Alexandre Leite - DEM/SP; Luis Miranda - DEM/DF; Efraim Filho - DEM/PB";20/05/2020
325;PL 3115/2020;Roberto de Lucena - PODE/SP;03/06/2020
326;PL 3118/2020;Jéssica Sales - MDB/AC;03/06/2020
327;PL 3131/2020;Ronaldo Carletto - PP/BA;04/06/2020
328;PL 3219/2020;David Soares - DEM/SP;09/06/2020
329;PL 3218/2020;David Soares - DEM/SP;09/06/2020
330;PL 3409/2020;Marília Arraes - PT/PE;18/06/2020
331;PL 1777/2019;"General Peternelli - PSL/SP; Caroline de Toni - PSL/SC; General Girão - PSL/RN e outros";27/03/2019
332;PL 3530/2019;Fábio Faria - PSD/RN;13/06/2019
333;PL 489/2020;Geninho Zuliani - DEM/SP;04/03/2020
334;PL 1459/2015;Flávia Morais - PDT/GO;07/05/2015
335;PL 4841/2012;Alberto Filho - PMDB/MA;12/12/2012
336;PL 6241/2019;Silas Câmara - REPUBLIC/AM;28/11/2019
337;PL 8515/2017;Evandro Roman - PSD/PR;05/09/2017
338;PL 1535/2020;Carlos Sampaio - PSDB/SP;03/04/2020
339;PL 2684/2020;Guilherme Derrite - PP/SP;14/05/2020
340;PL 5857/2019;Fábio Trad - PSD/MS;05/11/2019
341;PLP 479/2018;Odorico Monteiro - PSB/CE;07/03/2018
342;PLP 164/2012;Elcione Barbalho - PMDB/PA;19/04/2012
343;PL 4227/2015;Marcelo Belinati - PP/PR;22/12/2015
344;PL 3506/2012;João Campos - PSDB/GO;22/03/2012
345;PL 10778/2018;Cabo Daciolo - PATRI/RJ;04/09/2018
346;PL 5084/2019;Julian Lemos - PSL/PB;17/09/2019
347;PL 3315/2015;Cabo Sabino - PR/CE;15/10/2015
348;PL 3924/2015;Indio da Costa - PSD/RJ;10/12/2015
349;PL 2812/2015;Carlos Sampaio - PSDB/SP;27/08/2015
350;PL 2489/2011;Roberto de Lucena - PV/SP;05/10/2011
351;PL 4240/2015;Marcelo Belinati - PP/PR;22/12/2015
352;PL 8075/2014;Ricardo Izar - PSD/SP;06/11/2014
353;PL 4220/2015;Marcelo Belinati - PP/PR;22/12/2015
354;PL 101/2019;Rodrigo Agostinho - PSB/SP;04/02/2019
355;PL 379/2019;Dr. Leonardo - SOLIDARIED/MT;05/02/2019
356;PL 4565/2019;Alexandre Padilha - PT/SP;20/08/2019
357;PL 11228/2018;Carlos Henrique Gaguim - DEM/TO;19/12/2018
358;PL 5148/2019;Paula Belmonte - CIDADANIA/DF;18/09/2019
359;PL 4924/2019;André Figueiredo - PDT/CE;10/09/2019
440;PL 318/2019;Edna Henrique - PSDB/PB;04/02/2019
441;PL 2209/2020;Eduardo Costa - PTB/PA;27/04/2020
442;PL 1466/2020;Filipe Barros - PSL/PR;02/04/2020
443;PL 2893/2020;"Eduardo Costa - PTB/PA; Lucio Mosquini - MDB/RO; Pedro Augusto Bezerra - PTB/CE e outros";26/05/2020
444;PL 1989/2020;Rejane Dias - PT/PI;17/04/2020
445;PL 2877/2020;Otto Alencar Filho - PSD/BA;25/05/2020
446;PL 2364/2020;Nereu Crispim - PSL/RS;04/05/2020
447;PL 8733/2017;Flavinho - PSB/SP;02/10/2017
448;PL 1397/2020;Hugo Leal - PSD/RJ;01/04/2020
449;PL 3442/2019;Pompeo de Mattos - PDT/RS;11/06/2019
450;PL 1883/2020;Ricardo Silva - PSB/SP;14/04/2020
451;PL 1066/2019;José Medeiros - PODE/MT;22/02/2019
452;PL 6361/2019;Lucio Mosquini - MDB/RO;10/12/2019
453;PL 240/2020;Léo Moraes - PODE/RO;11/02/2020
454;PL 2956/2019;Dra. Vanda Milani - SOLIDARI/AC;21/05/2019
455;PL 6238/2019;Celso Russomanno - REPUBLIC/SP;28/11/2019
456;PL 2315/2020;"Weliton Prado - PROS/MG;Ricardo Izar - PP/SP";29/04/2020
457;PL 1530/2020;Pedro Augusto Bezerra - PTB/CE;03/04/2020
458;PL 2865/2020;"Heitor Schuch - PSB/RS; Alessandro Molon - PSB/RJ; Júlio Delgado - PSB/MG e outros";25/05/2020
459;PL 1228/2020;Alexandre Frota - PSDB/SP;30/03/2020
460;PL 2061/2019;Felício Laterça - PSL/RJ;04/04/2019
461;PL 4408/2019;Vanderlei Macris - PSDB/SP;13/08/2019
462;PL 2527/2020;"André Janones - AVANTE/MG;Charlles Evangelista - PSL/MG";11/05/2020
463;PL 1309/2019;Daniel Silveira - PSL/RJ;12/03/2019
464;PL 3306/2019;David Soares - DEM/SP;04/06/2019
465;PL 641/2020;"Professora Dorinha Seabra Rezende - DEM/TO; Dulce Miranda - MDB/TO; Angela Amin - PP/SC e outros";12/03/2020
466;PL 5191/2019;Charles Fernandes - PSD/BA;24/09/2019
467;PL 4283/2016;Arnaldo Faria de Sá - PTB/SP;03/02/2016
468;PL 8420/2017;Luiza Erundina - PSOL/SP;30/08/2017
469;PL 123/2019;Renata Abreu - PODE/SP;04/02/2019
470;PL 1610/2019;Carmen Zanotto - PPS/SC;20/03/2019
471;PLP 238/2016;"Luizianne Lins - PT/CE;Tabata Amaral - PDT/SP";03/03/2016
472;PL 1971/2020;Geninho Zuliani - DEM/SP;16/04/2020
473;PL 9289/2017;Jaime Martins - PSD/MG;06/12/2017
474;PL 3884/2019;Charles Fernandes - PSD/BA;04/07/2019
475;PL 2076/2019;Helder Salomão - PT/ES;04/04/2019
476;PL 9855/2018;Goulart - PSD/SP;21/03/2018
477;PL 5449/2013;Camilo Cola - PMDB/ES;24/04/2013
478;PL 6029/2013;Guilherme Mussi - PSD/SP;06/08/2013
479;PL 8056/2014;Erika Kokay - PT/DF;03/11/2014
480;PL 765/2020;Reginaldo Lopes - PT/MG;19/03/2020
481;PL 2864/2019;Marcon - PT/RS;14/05/2019
482;PL 1390/2019;Schiavinato - PP/PR;13/03/2019
483;PL 248/2011;Sandes Júnior - PP/GO;08/02/2011
484;PL 2592/2011;Edmar Arruda - PSC/PR;26/10/2011
485;PL 3921/2019;Frei Anastacio Ribeiro - PT/PB;08/07/2019
486;PL 646/2020;"Vinicius Poit - NOVO/SP; JHC - PSB/AL; Paulo Ganime - NOVO/RJ e outros";17/03/2020
487;PL 718/2020;Joice Hasselmann - PSL/SP;18/03/2020
488;PL 3553/2020;Marreca Filho - PATRIOTA/MA;30/06/2020
489;PL 2688/2020;"Erika Kokay - PT/DF; Patrus Ananias - PT/MG; Marcon - PT/RS e outros";14/05/2020
490;PL 621/2011;Artur Bruno - PT/CE;01/03/2011
491;PL 418/2011;Eli Correa Filho - DEM/SP;16/02/2011
492;PL 2833/2020;Nereu Crispim - PSL/RS;22/05/2020
493;PL 2848/2020;"Erika Kokay - PT/DF; José Guimarães - PT/CE; Jorge Solla - PT/BA e outros";25/05/2020
494;PL 2880/2020;Delegado Antônio Furtado - PSL/RJ;25/05/2020
