;Proposições;Autor;Apresentaç
210;PL 6726/2016;Senado Federal - Comissão Especial do Extrateto SF;14/12/2016
211;PL 2031/2015;"Julio Lopes - PP/RJ;Paulo Abi-Ackel - PSDB/MG";18/06/2015
212;PL 573/2015;Veneziano Vital do Rêgo - PMDB/PB;04/03/2015
213;PL 3123/2012;Alexandre Leite - DEM/SP;06/02/2012
214;PL 3443/2019;"Tiago Mitraud - NOVO/MG; Vinicius Poit - NOVO/SP; João H. Campos - PSB/PE e outros";11/06/2019
215;PL 8062/2014;Alceu Moreira - PMDB/RS;04/11/2014
216;PL 4899/2012;COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA E DE CIDADANIA;19/12/2012
217;PL 265/2020;Rejane Dias - PT/PI;11/02/2020
218;PL 3515/2015;Senado Federal - José Sarney - PMDB/AP;04/11/2015
219;PL 3104/2020;Weliton Prado - PROS/MG;03/06/2020
220;PL 1028/2020;Júnior Mano - PL/CE;24/03/2020
221;PL 3394/2020;Hildo Rocha - MDB/MA;18/06/2020
222;PL 2735/2020;Ricardo Guidi - PSD/SC;18/05/2020
223;PL 5123/2019;Fábio Faria - PSD/RN;17/09/2019
224;PL 3227/2015;Marco Tebaldi - PSDB/SC;06/10/2015
225;PL 6520/2016;Rômulo Gouveia - PSD/PB;22/11/2016
226;PL 7129/2017;Alexandre Leite - DEM/SP;15/03/2017
227;PL 9791/2018;Mário Heringer - PDT/MG;14/03/2018
228;PL 2451/2020;Geninho Zuliani - DEM/SP;06/05/2020
229;PL 6545/2013;Arnaldo Jordy - PPS/PA;09/10/2013
230;PL 543/2019;Giovani Cherini - PR/RS;07/02/2019
231;PL 1372/2020;Pedro Lucas Fernandes - PTB/MA;01/04/2020
232;PL 9612/2018;Luiz Couto - PT/PB;21/02/2018
233;PL 5813/2019;Herculano Passos - MDB/SP;31/10/2019
234;PL 4928/2019;Julian Lemos - PSL/PB;10/09/2019
235;PL 3634/2015;Rubens Pereira Júnior - PCdoB/MA;16/11/2015
236;PL 9592/2018;Célio Silveira - PSDB/GO;20/02/2018
237;PL 2964/2015;Célio Silveira - PSDB/GO;10/09/2015
238;PL 7479/2014;Maria do Rosário - PT/RS;29/04/2014
239;PLP 162/2020;Francisco Jr. - PSD/GO;09/06/2020
240;PL 4765/2012;Pedro Uczai - PT/SC;27/11/2012
241;PLP 205/2019;Reginaldo Lopes - PT/MG;03/09/2019
242;PLP 10/2015;"Jandira Feghali - PCdoB/RJ; Leonardo Picciani - PMDB/RJ; Eduardo da Fonte - PP/PE e outros";05/02/2015
243;PL 2934/2020;Daniel Silveira - PSL/RJ;27/05/2020
244;PL 2943/2020;"Pedro Lucas Fernandes - PTB/MA; Eduardo Costa - PTB/PA; Emanuel Pinheiro Neto - PTB/MT e outros";27/05/2020
245;PL 213/2019;Roberto de Lucena - PODE/SP;04/02/2019
246;PL 2991/2020;Alexandre Frota - PSDB/SP;29/05/2020
247;PL 2982/2020;"Elias Vaz - PSB/GO; Denis Bezerra - PSB/CE; Lídice da Mata - PSB/BA e outros";28/05/2020
248;PL 2998/2020;Filipe Barros - PSL/PR;29/05/2020
249;PL 2854/2020;"Maria do Rosário - PT/RS; Luizianne Lins - PT/CE; Rui Falcão - PT/SP e outros";25/05/2020
250;PL 1911/2019;Aroldo Martins - PRB/PR;02/04/2019
251;PL 4546/2019;David Soares - DEM/SP;15/08/2019
252;PL 278/2015;Heuler Cruvinel - PSD/GO;10/02/2015
253;PL 460/2019;Valmir Assunção;05/02/2019
254;PL 11114/2018;Jaime Martins - PROS/MG;04/12/2018
255;PLP 26/2020;Tiago Mitraud - NOVO/MG;10/03/2020
256;PL 2387/2019;Pastor Sargento Isidório - AVANTE/BA;17/04/2019
257;PL 6430/2019;Guilherme Derrite - PP/SP;12/12/2019
258;PL 6771/2016;Osmar Bertoldi - DEM/PR;20/12/2016
259;PL 3899/2019;Zé Vitor - PL/MG;04/07/2019
260;PL 2120/2020;Jéssica Sales - MDB/AC;23/04/2020
261;PL 3811/2019;Rejane Dias - PT/PI;02/07/2019
262;PL 10261/2018;"Rodrigo Garcia - DEM/SP; Alberto Fraga - DEM/DF; Aníbal Gomes - DEM/CE e outros";16/05/2018
263;PL 3450/2020;Edilázio Júnior - PSD/MA;22/06/2020
264;PL 2321/2011;Leopoldo Meyer - PSB/PR;15/09/2011
265;PL 2454/2020;Eros Biondini - PROS/MG;07/05/2020
266;PL 4700/2019;Aline Sleutjes - PSL/PR;27/08/2019
267;PL 3067/2020;Vermelho - PSD/PR;02/06/2020
268;PL 5046/2019;Daniel Silveira - PSL/RJ;12/09/2019
269;PL 962/2015;Conceição Sampaio - PP/AM;27/03/2015
270;PL 1998/2020;"Adriana Ventura - NOVO/SP; Marcel van Hattem - NOVO/RS; Pedro Westphalen - PP/RS e outros";17/04/2020
271;PL 2852/2020;Schiavinato - PP/PR;25/05/2020
272;PL 883/2019;"Policial Katia Sastre - PR/SP;Patricia Ferraz - PODE/AP";19/02/2019
273;PL 2416/2019;Celina Leão - PP/DF;17/04/2019
274;PL 9699/2018;Cristiane Brasil - PTB/RJ;06/03/2018
275;PL 3562/2019;Lauriete - PL/ES;17/06/2019
276;PL 9551/2018;Marco Antônio Cabral - PMDB/RJ;07/02/2018
277;PL 5577/2013;Rogério Carvalho - PT/SE;14/05/2013
278;PL 1266/2020;Roberto Pessoa - PSDB/CE;30/03/2020
279;PL 694/2020;Pedro Lupion - DEM/PR;18/03/2020
280;PL 4346/2012;Dudimar Paxiuba - PSDB/PA;22/08/2012
281;PL 2046/2020;Zé Vitor - PL/MG;20/04/2020
282;PL 4863/2019;Pinheirinho - PP/MG;04/09/2019
283;PL 524/2019;Sergio Vidigal - PDT/ES;06/02/2019
